      mass_in  chg_in     en_in    azi_in    pol_in  guess_en         x         y         z          px          py          pz          time        en        de       azi       pol    true_x    true_y    true_z     true_px     true_py     true_pz     true_time   true_en   true_de  true_azi  true_pol  start_en    pdev_en   dev_azi   dev_pol    en_err
56          4       2  2.068725  4.461443  2.363530         2 -0.083522 -0.168571  0.798138  -91.687157 -116.826172 -158.601903  1.614027e-08  1.571038 -0.007635 -2.236210  2.389047 -0.125359 -0.245434  0.711254  -93.984344 -109.620378 -155.030896  2.173449e-08  1.493722  0.001633 -2.279549  2.391703  2.068725   5.176083  0.043338 -0.002656  0.068725
57          4       2  1.980614  1.670984  2.165587         2  0.043315  0.247288  0.823069   76.992160  158.973757 -119.278150  1.793406e-08  1.511794 -0.004035  1.119781  2.164735  0.036015  0.272753  0.812864   63.997069  164.217211 -117.211608  1.839251e-08  1.490969  0.001635  1.199192  2.157674  1.980614   1.396702 -0.079411  0.007061 -0.019386
58          4       2  2.018993  4.827201  3.051538         2  0.015854 -0.060891  0.391846    6.705658  -20.183125 -174.101874  3.560352e-08  1.024057 -0.042192 -1.250029  3.020037  0.013781 -0.060972  0.375495    5.511735  -18.933609 -172.229385  3.691130e-08  1.000370  0.002182 -1.287517  3.027593  2.018993   2.367832  0.037487 -0.007556  0.018993
59          4       2  1.940757  0.734200  3.122511         2  0.042909 -0.006566  0.435198   23.599031  -10.163149 -181.358174  3.247119e-08  1.116782 -0.028566 -0.406655  3.000852  0.035225 -0.003073  0.432709   18.610357   -6.735227 -172.202724  3.387959e-08  1.000159  0.002183 -0.347243  3.027163  1.940757  11.660389 -0.059411 -0.026311 -0.059243
60          4       2  2.022562  0.213227  2.739141         2  0.244778 -0.071214  0.461400   61.483250  -56.806752 -146.365337  3.692191e-08  0.946410 -0.011361 -0.745885  2.622078  0.261566 -0.055991  0.434048   68.293676  -48.959197 -151.786749  3.699736e-08  1.001981  0.002180 -0.621973  2.635986  2.022562  -5.546120 -0.123911 -0.013908  0.022562
61          4       2  2.105426  2.434616  2.241059         2 -0.132086  0.208942  0.786944  -39.987225  155.107715 -137.321604  1.930545e-08  1.481430 -0.005933  1.823105  2.279513 -0.161267  0.223165  0.771646  -61.166732  156.182486 -141.737189  1.912105e-08  1.604764  0.001548  1.944072  2.272390  2.105426  -7.685507 -0.120967  0.007123  0.105426
62          4       2  1.967105  1.991142  2.467420         2 -0.003076  0.247704  0.666256   48.764016  111.028840 -156.251070  2.508000e-08  1.302015 -0.005655  1.156959  2.481599 -0.022070  0.274327  0.643697   34.136682  116.269263 -152.938135  2.582211e-08  1.267231  0.001841  1.285221  2.471548  1.967105   2.744863 -0.128262  0.010051 -0.032895
63          4       2  2.035213  3.175712  2.888483         2 -0.096033  0.059739  0.371553   -1.812083   26.834825 -167.834914  3.772787e-08  0.961780 -0.026080  1.638221  2.982691 -0.113363  0.049607  0.374011  -12.290250   25.166464 -171.167698  3.751103e-08  1.001400  0.002181  2.025087  2.979406  2.035213  -3.956491 -0.386866  0.003286  0.035213
64          4       2  1.794541  2.059716  2.418735         2 -0.024702  0.249176  0.693856   37.639078  124.817015 -154.239342  2.359213e-08  1.357425 -0.005563  1.277914  2.439871 -0.042375  0.271822  0.675989   24.567937  114.803095 -135.625026  2.591963e-08  1.071089  0.002079  1.359976  2.428089  1.794541  26.733172 -0.082061  0.011782 -0.205459
65          4       2  1.631580  5.948117  2.727023         2  0.123498 -0.085749  0.681737   64.539967  -73.152927 -188.320781  1.888582e-08  1.496955 -0.007134 -0.847869  2.663633  0.126282 -0.079492  0.682116   55.297458  -55.627037 -154.752390  2.211920e-08  1.001989  0.002180 -0.788369  2.672482  1.631580  49.398355 -0.059499 -0.008849 -0.368420
66          4       2  2.076924  6.064393  2.032617         2  0.230804 -0.111643  0.877190  154.059927 -125.103087  -85.546705  1.633775e-08  1.554215 -0.003914 -0.682040  1.977788  0.252890 -0.108400  0.869801  168.727897 -114.107080  -90.490112  1.620972e-08  1.653114  0.001515 -0.594628  1.988862  2.076924  -5.982624 -0.087413 -0.011074  0.076924
67          4       2  1.958925  1.673609  1.692948         2  0.022924  0.236237  0.967488   64.928282  212.532381  -28.107139  1.276883e-08  1.669662 -0.002915  1.274303  1.696607  0.021355  0.274455  0.966208   55.965082  207.226930  -25.449734  1.522592e-08  1.554856  0.001585  1.307022  1.688809  1.958925   7.383677 -0.032719  0.007798 -0.041075
68          4       2  2.050934  3.429972  2.184277         2 -0.189974 -0.017077  0.851075 -172.462872   18.052611 -137.957185  1.394609e-08  1.633948 -0.006732  3.037297  2.242835 -0.274512 -0.020904  0.793667 -168.240366   25.582608 -133.843173  1.862783e-08  1.559861  0.001581  2.990689  2.237255  2.050934   4.749617  0.046608  0.005580  0.050934
69          4       2  2.123897  4.593516  1.884398         2 -0.050993 -0.172757  0.934706  -92.292805 -192.636310  -76.929786  1.087335e-08  1.715182 -0.004505 -2.017588  1.916486 -0.078839 -0.264336  0.908639  -97.037949 -192.953144  -72.938724  1.521991e-08  1.729226  0.001465 -2.036769  1.896481  2.123897  -0.812144  0.019181  0.020004  0.123897
70          4       2  1.929024  3.888422  2.367880         2 -0.161596 -0.091944  0.792736 -137.693554  -41.131309 -162.769213  1.626113e-08  1.568899 -0.007601 -2.851314  2.418317 -0.241531 -0.131909  0.699274 -126.075366  -29.062667 -148.964048  2.335389e-08  1.295702  0.001812 -2.915032  2.426431  1.929024  21.084896  0.063718 -0.008114 -0.070976
71          4       2  1.939082  5.051726  2.198531         2  0.030241 -0.207195  0.845959   -7.267007 -179.419168 -127.254596  1.477086e-08  1.611880 -0.005932 -1.611277  2.187322  0.037756 -0.272476  0.801423  -12.226967 -168.262767 -120.354341  1.900572e-08  1.429301  0.001686 -1.643335  2.190456  1.939082  12.773984  0.032058 -0.003133 -0.060918
72          4       2  2.011374  1.432320  1.908804         2  0.089590  0.234697  0.908410  115.486655  171.944451  -71.336427  1.497732e-08  1.597023 -0.003663  0.979351  1.902480  0.089280  0.260281  0.904608  104.581864  179.404391  -69.377518  1.578357e-08  1.595214  0.001555  1.043016  1.893227  2.011374   0.113399 -0.063665  0.009253  0.011374
